"df$Key","Percentage_pop_with_bachelors disc","Adults.19.25 disc","Adults.26.34 disc","Adults.35.54 disc","num_jobs_tot disc","EnergyC_addunit disc","Av_temperature disc","Median_income disc","GDP disc","Tot_vehicle disc","Elec_price disc","label"
"Florida2010","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Medium Tot_vehicle","Low Elec_price","1"
"Georgia2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Hawaii2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","High Elec_price","1"
"Idaho2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Illinois2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Medium Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Indiana2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Iowa2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Kansas2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Kentucky2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Louisiana2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Maine2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Maryland2010","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Massachusetts2010","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Michigan2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Minnesota2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Mississippi2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Missouri2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Montana2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Nebraska2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Nevada2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New Hampshire2010","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","High Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New Jersey2010","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New Mexico2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New York2010","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Medium GDP","Medium Tot_vehicle","Medium Elec_price","1"
"North Carolina2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"North Dakota2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Ohio2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Oklahoma2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Oregon2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Pennsylvania2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Rhode Island2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"South Carolina2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"South Dakota2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Tennessee2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Texas2010","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","High EnergyC_addunit","High Av_temperature","Low Median_income","Medium GDP","Medium Tot_vehicle","Low Elec_price","1"
"Utah2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Vermont2010","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Virginia2010","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Washington2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"West Virginia2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Wisconsin2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Wyoming2010","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Alabama2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Alaska2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Low Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Medium Elec_price","1"
"Arizona2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Arkansas2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"California2011","Low Percentage_pop_with_bachelors","High Adults.19.25","High Adults.26.34","High Adults.35.54","High num_jobs_tot","Medium EnergyC_addunit","High Av_temperature","Medium Median_income","Medium GDP","High Tot_vehicle","Low Elec_price","1"
"Colorado2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Connecticut2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Medium Elec_price","1"
"Delaware2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"District of Columbia2011","High Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Florida2011","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Medium Tot_vehicle","Low Elec_price","1"
"Georgia2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Hawaii2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","High Elec_price","1"
"Idaho2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Illinois2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Indiana2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Iowa2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Kansas2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Kentucky2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Louisiana2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Maine2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Maryland2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","High Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Massachusetts2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Michigan2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Minnesota2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Mississippi2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Missouri2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Montana2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Nebraska2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Nevada2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New Hampshire2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New Jersey2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New Mexico2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"New York2011","Medium Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Medium GDP","Low Tot_vehicle","Medium Elec_price","1"
"North Carolina2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"North Dakota2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Ohio2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Oklahoma2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Oregon2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Pennsylvania2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Rhode Island2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"South Carolina2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"South Dakota2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Tennessee2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Texas2011","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","High EnergyC_addunit","High Av_temperature","Medium Median_income","Medium GDP","Medium Tot_vehicle","Low Elec_price","1"
"Utah2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Vermont2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Virginia2011","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Washington2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"West Virginia2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Wisconsin2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Wyoming2011","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Alabama2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Alaska2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Low Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Medium Elec_price","1"
"Arizona2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Arkansas2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"California2012","Low Percentage_pop_with_bachelors","High Adults.19.25","High Adults.26.34","High Adults.35.54","High num_jobs_tot","Medium EnergyC_addunit","High Av_temperature","Medium Median_income","High GDP","Medium Tot_vehicle","Low Elec_price","1"
"Colorado2012","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Connecticut2012","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Medium Elec_price","1"
"Delaware2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"District of Columbia2012","High Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Florida2012","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Medium Tot_vehicle","Low Elec_price","1"
"Georgia2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Hawaii2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","High Elec_price","1"
"Idaho2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Illinois2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Indiana2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Iowa2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Kansas2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Kentucky2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Louisiana2012","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
